epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.742,1.71509,3.55908,1.22949,0.00683,0.92517,0.02773,0.01319,1.3217,3.6939,1.0253,0.00013336,0.00013336,0.00013336
2,205.479,1.49639,2.71277,1.07232,0.00672,0.9949,0.16832,0.06111,1.48771,3.53262,1.04832,0.00028152,0.00028152,0.00028152
3,315.151,1.51067,1.87146,1.07491,0.00706,0.93282,0.31286,0.14066,1.52844,3.34056,1.08293,0.000427699,0.000427699,0.000427699
